id,query,dataset
1_tempsum_2013,buenos aires train crash,TempSum
2_tempsum_2013,pakistan factory fire,TempSum
3_tempsum_2013,colorado shooting,TempSum
4_tempsum_2013,sikh temple shooting,TempSum
5_tempsum_2013,hurricane isaac,TempSum
6_tempsum_2013,hurricane sandy,TempSum
7_tempsum_2013,midwest derecho,TempSum
8_tempsum_2013,typhoon bopha,TempSum
9_tempsum_2013,guatemala earthquake,TempSum
10_tempsum_2013,tel aviv bus bombing,TempSum
11_tempsum_2014,costa concordia,TempSum
12_tempsum_2014,european cold wave,TempSum
13_tempsum_2014,queensland floods,TempSum
14_tempsum_2014,boston marathon bombing,TempSum
15_tempsum_2014,egyptian riots,TempSum
16_tempsum_2014,quran burning protests,TempSum
17_tempsum_2014,in amenas hostage crisis,TempSum
18_tempsum_2014,russian protests,TempSum
19_tempsum_2014,romanian protests,TempSum
20_tempsum_2014,egyptian protests,TempSum
21_tempsum_2014,russia meteor,TempSum
22_tempsum_2014,bulgarian protests,TempSum
23_tempsum_2014,shahbag protests,TempSum
24_tempsum_2014,nor'easter,TempSum
25_tempsum_2014,Southern California shooting,TempSum
26_tempsum_2015,vauxhall helicopter crash,TempSum
27_tempsum_2015,cyclone nilam,TempSum
28_tempsum_2015,savar building collapse,TempSum
29_tempsum_2015,hyderabad explosion,TempSum
30_tempsum_2015,brazzaville explosion,TempSum
31_tempsum_2015,india power blackouts,TempSum
32_tempsum_2015,innocence of muslims protests,TempSum
33_tempsum_2015,konna battle,TempSum
34_tempsum_2015,quetta bombing,TempSum
35_tempsum_2015,iraq bombing,TempSum
37_tempsum_2015,los angeles arson,TempSum
38_tempsum_2015,thane building collapsed,TempSum
39_tempsum_2015,suicide bomber ankara,TempSum
40_tempsum_2015,baghdad bomb,TempSum
41_tempsum_2015,aleppo university explosion,TempSum
42_tempsum_2015,carnival triumph fire,TempSum
43_tempsum_2015,uss guardian grounding,TempSum
44_tempsum_2015,aceh earthquake,TempSum
45_tempsum_2015,haida gwaii earthquake,TempSum
46_tempsum_2015,catalan protest,TempSum
301_robust04,International Organized Crime,Robust 04
302_robust04,Poliomyelitis and Post-Polio,Robust 04
303_robust04,Hubble Telescope Achievements,Robust 04
304_robust04,Endangered Species (Mammals),Robust 04
305_robust04,Most Dangerous Vehicles,Robust 04
306_robust04,African Civilian Deaths,Robust 04
307_robust04,New Hydroelectric Projects,Robust 04
308_robust04,Implant Dentistry,Robust 04
309_robust04,Rap and Crime,Robust 04
310_robust04,Radio Waves and Brain Cancer,Robust 04
311_robust04,Industrial Espionage,Robust 04
312_robust04,Hydroponics,Robust 04
313_robust04,Magnetic Levitation-Maglev,Robust 04
314_robust04,Marine Vegetation,Robust 04
315_robust04,Unexplained Highway Accidents,Robust 04
316_robust04,Polygamy Polyandry Polygyny,Robust 04
317_robust04,Unsolicited Faxes,Robust 04
318_robust04,Best Retirement Country,Robust 04
319_robust04,New Fuel Sources,Robust 04
320_robust04,Undersea Fiber Optic Cable,Robust 04
321_robust04,Women in Parliaments,Robust 04
322_robust04,International Art Crime,Robust 04
323_robust04,Literary/Journalistic Plagiarism,Robust 04
324_robust04,Argentine/British Relations,Robust 04
325_robust04,Cult Lifestyles,Robust 04
326_robust04,Ferry Sinkings,Robust 04
327_robust04,Modern Slavery,Robust 04
328_robust04,Pope Beatifications,Robust 04
329_robust04,Mexican Air Pollution,Robust 04
330_robust04,Iran-Iraq Cooperation,Robust 04
331_robust04,World Bank Criticism,Robust 04
332_robust04,Income Tax Evasion,Robust 04
333_robust04,Antibiotics Bacteria Disease,Robust 04
334_robust04,Export Controls Cryptography,Robust 04
335_robust04,Adoptive Biological Parents,Robust 04
336_robust04,Black Bear Attacks,Robust 04
337_robust04,Viral Hepatitis,Robust 04
338_robust04,Risk of Aspirin,Robust 04
339_robust04,Alzheimer's Drug Treatment,Robust 04
340_robust04,Land Mine Ban,Robust 04
341_robust04,Airport Security,Robust 04
342_robust04,Diplomatic Expulsion,Robust 04
343_robust04,Police Deaths,Robust 04
344_robust04,Abuses of E-Mail,Robust 04
345_robust04,Overseas Tobacco Sales,Robust 04
346_robust04,Educational Standards,Robust 04
347_robust04,Wildlife Extinction,Robust 04
348_robust04,Agoraphobia,Robust 04
349_robust04,Metabolism,Robust 04
350_robust04,Health and Computer Terminals,Robust 04
351_robust04,Falkland petroleum exploration,Robust 04
352_robust04,British Chunnel impact,Robust 04
353_robust04,Antarctica exploration,Robust 04
354_robust04,journalist risks,Robust 04
355_robust04,ocean remote sensing,Robust 04
356_robust04,postmenopausal estrogen Britain,Robust 04
357_robust04,territorial waters dispute,Robust 04
358_robust04,blood-alcohol fatalities,Robust 04
359_robust04,mutual fund predictors,Robust 04
360_robust04,drug legalization benefits,Robust 04
361_robust04,clothing sweatshops,Robust 04
362_robust04,human smuggling,Robust 04
363_robust04,transportation tunnel disasters,Robust 04
364_robust04,rabies,Robust 04
365_robust04,El Nino,Robust 04
