Column1	Column2	Column3	Column4	Column5	Column6	Column7
query	1. Nicht Zeitlich	2. Explizit Zeitlich	3. Ereignis	4. Mehrdeutig	5. Aktualität	Notizen
taxing social security	1					
mutual fund predictors			1			
timber exports Asia					1	
term limits	1					
savar building collapse			1			
in amenas hostage crisis			1			
Potatoes	1					
Lyme disease arthritis	1					
Nobel prize winners				1		
International Organized Crime	1					
suicide bomber ankara			1			
poaching, wildlife preserves				1		
Winnie Mandela scandal			1			
cosmic events				1		
killer bee attacks	1					
food stamps increase				1		
what do you call someone who writes biographies	1					
ocean remote sensing	1					
New Hydroelectric Projects					1	
Risk of Aspirin	1					
how to age steak	1					
Office chair	1					
retirement insurance my space	1					
Volkswagen Mexico	1					
Mexican Air Pollution			1			
mercy killing				1		
computers and paralyzed people				1		
Marine Vegetation					1	
health insurance holistic	1					
how much magnolia bark to take for anxiety	1					
maternity leave policies	1					
poppy cultivation			1			
Three Gorges Project			1			
how to transfer deposit to another account online westpac	1					
salvaging, shipwreck, treasure				1		
Antarctica exploration				1		
curbing population growth	1					
Health and Computer Terminals	1					
Agent Orange exposure	1					
in vitro fertilization	1					
NRA membership profile	1					
piracy				1		
average bahamas temperature at the end of october		1				
Unsolicited Faxes	1					
chocolate banana gateau				1		
school prayer banned				1		
same-sex schools	1					
people who have fled the us because trump					1	
hydrogen energy	1					
example of what a family advocate does	1					
International Art Crime	1					
women driving in Saudi Arabia	1					
social media and teen suicide				1		
Police Deaths				1		
how to check if someone has a restraining order	1					
pakistan factory fire			1			
mackerel recipe	1					
what hazards come with making paint	1					
number of instagram post about unicorn frappuccino	1					
Kurds Germany violence				1		
how to make ground beef empanadas	1					
Land Mine Ban				1		
what is the weight a chevrolet suburban	1					
space station moon				1		
Bezos purchases Washington Post			1			
gateau a la banana	1					
sauteed potatoes	1					
obesity medical treatment	1					
illegal technology transfer	1					
what tax form do you get from short term disability	1					
Poliomyelitis and Post-Polio	1					
egyptian riots			1			
Gulf War Syndrome		1				
airport security				1		
toxic chemical weapon				1		
mackerel in the oven	1					
innocence of muslims protests					1	
Agoraphobia	1					
Salvation Army benefits	1					
ohm energy	1					
definition of now				1		
protect Earth from asteroids	1					
taxes	1					
business architect role definition	1					
newspapers electronic media	1					
when is trial by jury used	1					
buenos aires train crash			1			
non-U.S. media bias	1					
