Prompt,Answer,Answer
Car shelter,time-independent,time-independent
airport,time-independent,time-independent
antivirus comparison,time-independent,time-independent
free antivirus,time-independent,time-independent
orange antivirus,time-independent,time-independent
antivirus smartphone,time-independent,time-independent
watercolour and paintbrushes,time-independent,time-independent
arena bordeaux,event,event
colloidal silver,time-independent,time-independent
unlicensed car insurance,time-independent,time-independent
autonomy electric car,time-independent,time-independent
antivirus avast,time-independent,time-independent
beaugrenelle,time-independent,time-independent
beaune,time-independent,time-independent
Public Employment Exchange,time-independent,time-independent
gift maitresse,time-independent,time-independent
capture a video on the Internet,time-independent,time-independent
carpovirusin,time-independent,time-independent
cdiscount energie,time-independent,time-independent
non-resident tax centre,time-independent,time-independent
energy conservation certificate,time-independent,time-independent
birdsong,time-independent,time-independent
chat video,time-independent,time-independent
chateau cathare,time-independent,time-independent
energy cheque,time-independent,time-independent
sky and space,time-independent,time-independent
comparator car hire,time-independent,time-independent
pole emploi collective agreement,time-independent,time-independent
convert video to mp3,time-independent,time-independent
oil prices,timeliness,timeliness
Atlantic Canada Opportunities Agency,time-independent,time-independent
Potato croquette,time-independent,time-independent
date of declaration of taxes,explicit-time,explicit-time
date Second World War,event,event
earthenware devil,time-independent,time-independent
elisabeth borne,time-independent,time-independent
employment in the public service,time-independent,time-independent
seasonal employment,time-independent,time-independent
territorial employment,time-independent,time-independent
energie-info.fr,time-independent,time-independent
car estimation,time-independent,time-independent
Exemption property tax,time-independent,time-independent
training pole employment,time-independent,time-independent
apple cake,time-independent,time-independent
semolina gateau,time-independent,time-independent
groupama customer space,time-independent,time-independent
War of Spain,event,event
Wars of religion,event,event
walnut gateau,time-independent,time-independent
taxes and duties,time-independent,time-independent
