query	1. Nicht Zeitlich	2. Explizit Zeitlich	3. Ereignis	4. Mehrdeutig	5. Aktualität	Notizen
what is 311 for	1					
property tax	1					
vauxhall helicopter crash			1			
Parkinson's disease	1					
Lyme disease	1					
recipe chocolate gateau	1					
anti-virus				1		
eating invasive species	1					
recipe blanquette de veau	1					
typhoon bopha		1				
poverty Africa sub-Sahara	1					
what does duped mean	1					
how do you root a yucca plant	1					
hydrogen fuel automobiles	1					
Wildlife Extinction	1					
melanoma treatment causes	1					
hybrid fuel cars	1					
Greek, philosophy, stoicism				1		
art, stolen, forged				1		
Rap and Crime	1					
Undersea Fiber Optic Cable	1					
orphan drugs				1		
Milosevic, Mirjana Markovic	1					
how fast does a rabbit grow	1					
hurricane sandy		1				
human growth hormone (HGH)	1					
Chavez medical treatment in Cuba	1					
windmill electricity	1					
tel aviv bus bombing			1			
sikh temple shooting			1			
drugs, Golden Triangle	1					
women clergy	1					
tourism, increase					1	
the population of kings grant fayetteville prior to liberty hills						
costa concordia			1			
what are the three countries in 1984				1		
euro opposition					1	
adult immigrants English					1	
nor'easter			1			
Argentina pegging dollar						
unmarried-partner households	1					
behavioral genetics	1					
why was the massachusetts bay colony founded		1				
used cars					1	
New Fuel Sources					1	
SDI Star Wars		1				
elderberry	1					
profiling, motorists, police				1		
doctor assisted suicides	1					
Czech, Slovak sovereignty		1				
home schooling	1					
veolia client space	1					
thane building collapsed		1				
foreign minorities, Germany					1	
iraq bombing			1			
women ordained Church of England	1					
Valdez wildlife marine life	1					
who sang the song maybe				1		
Olympics training swimming	1					
how do i replace the burners on a ducane grill	1					
los angeles arson			1			
Antibiotics Bacteria Disease	1					
U.S. elections apathy					1	
clear-cutting forests	1					
who is gehan homes	1					
Airport Security	1					
anorexia nervosa bulimia	1					
semolina gateau	1					
African Civilian Deaths					1	
catalan protest			1			
ship losses					1	
gasoline tax U.S.					1	
drug legalization benefits	1					
mainstreaming				1		
law enforcement, dogs	1					
india power blackouts			1			
lemon gateau	1					
France nuclear testing			1			
Great Britain health care	1					
Diplomatic Expulsion	1					
wrongful convictions	1					
chocolate gateau	1					
how many incidents of corneal abrasion					1	
Implant Dentistry	1					
Export Controls Cryptography	1					
poverty, disease	1					
declining birth rates					1	
Alzheimer's Drug Treatment	1					
